Nivel,Potencia
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.6,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.6,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
4.3,100.0
5.0,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
5.0,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
5.0,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
5.0,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
5.0,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
4.9,100.0
5.0,100.0
4.9,100.0
